"id_objetosPossiveis","uri_objetosPossiveis","siglaTipo_objetosPossiveis","codTipo_objetosPossiveis","numero_objetosPossiveis","ano_objetosPossiveis","ementa_objetosPossiveis","id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2366363,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2366363","RPD",332,9,0,"Requerimento de Votação Nominal-Destaque de Emenda - MPV 1164/2023",2349947,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349947","MPV",291,1164,2023,"Institui o Programa Bolsa Família e altera a Lei nº 8.742, de 7 de dezembro de 1993, que dispõe sobre a organização da Assistência Social, e a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento.  NOVA EMENTA: Institui o Programa Bolsa Família; altera a Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento, e a Lei nº 10.779, de 25 de novembro de 2003; e revoga dispositivos das Leis nºs 14.284, de 29 de dezembro de 2021, e 14.342, de 18 de maio de 2022, e a Medida Provisória nº 1.155, de 1º de janeiro de 2023.","2349947-42"
2366365,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2366365","RPDR",889,10,0,"Requerimento Procedimental Genérico - MPV 1164/2023",2349947,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349947","MPV",291,1164,2023,"Institui o Programa Bolsa Família e altera a Lei nº 8.742, de 7 de dezembro de 1993, que dispõe sobre a organização da Assistência Social, e a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento.  NOVA EMENTA: Institui o Programa Bolsa Família; altera a Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento, e a Lei nº 10.779, de 25 de novembro de 2003; e revoga dispositivos das Leis nºs 14.284, de 29 de dezembro de 2021, e 14.342, de 18 de maio de 2022, e a Medida Provisória nº 1.155, de 1º de janeiro de 2023.","2349947-42"
2366341,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2366341","DTQ",1011,2,0,"Destaque de Emenda - MPV 1164/2023",2349947,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349947","MPV",291,1164,2023,"Institui o Programa Bolsa Família e altera a Lei nº 8.742, de 7 de dezembro de 1993, que dispõe sobre a organização da Assistência Social, e a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento.  NOVA EMENTA: Institui o Programa Bolsa Família; altera a Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento, e a Lei nº 10.779, de 25 de novembro de 2003; e revoga dispositivos das Leis nºs 14.284, de 29 de dezembro de 2021, e 14.342, de 18 de maio de 2022, e a Medida Provisória nº 1.155, de 1º de janeiro de 2023.","2349947-42"
2366336,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2366336","RPDR",889,8,0,"Requerimento Procedimental Genérico - MPV 1164/2023",2349947,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349947","MPV",291,1164,2023,"Institui o Programa Bolsa Família e altera a Lei nº 8.742, de 7 de dezembro de 1993, que dispõe sobre a organização da Assistência Social, e a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento.  NOVA EMENTA: Institui o Programa Bolsa Família; altera a Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento, e a Lei nº 10.779, de 25 de novembro de 2003; e revoga dispositivos das Leis nºs 14.284, de 29 de dezembro de 2021, e 14.342, de 18 de maio de 2022, e a Medida Provisória nº 1.155, de 1º de janeiro de 2023.","2349947-42"
2366331,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2366331","DTQ",1011,1,0,"Destaque de Emenda - MPV 1164/2023",2349947,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349947","MPV",291,1164,2023,"Institui o Programa Bolsa Família e altera a Lei nº 8.742, de 7 de dezembro de 1993, que dispõe sobre a organização da Assistência Social, e a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento.  NOVA EMENTA: Institui o Programa Bolsa Família; altera a Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento, e a Lei nº 10.779, de 25 de novembro de 2003; e revoga dispositivos das Leis nºs 14.284, de 29 de dezembro de 2021, e 14.342, de 18 de maio de 2022, e a Medida Provisória nº 1.155, de 1º de janeiro de 2023.","2349947-42"
2366333,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2366333","RPD",332,7,0,"Requerimento de Votação Nominal-Destaque de Emenda - MPV 1164/2023",2349947,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349947","MPV",291,1164,2023,"Institui o Programa Bolsa Família e altera a Lei nº 8.742, de 7 de dezembro de 1993, que dispõe sobre a organização da Assistência Social, e a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento.  NOVA EMENTA: Institui o Programa Bolsa Família; altera a Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento, e a Lei nº 10.779, de 25 de novembro de 2003; e revoga dispositivos das Leis nºs 14.284, de 29 de dezembro de 2021, e 14.342, de 18 de maio de 2022, e a Medida Provisória nº 1.155, de 1º de janeiro de 2023.","2349947-42"
2366319,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2366319","RPD",332,5,0,"Requerimento de Votação Nominal-Requerimento de Adiamento da Votação Matéria Urgente - MPV 1164/2023",2349947,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349947","MPV",291,1164,2023,"Institui o Programa Bolsa Família e altera a Lei nº 8.742, de 7 de dezembro de 1993, que dispõe sobre a organização da Assistência Social, e a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento.  NOVA EMENTA: Institui o Programa Bolsa Família; altera a Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento, e a Lei nº 10.779, de 25 de novembro de 2003; e revoga dispositivos das Leis nºs 14.284, de 29 de dezembro de 2021, e 14.342, de 18 de maio de 2022, e a Medida Provisória nº 1.155, de 1º de janeiro de 2023.","2349947-42"
2366321,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2366321","RPD",467,6,0,"Requerimento de Adiamento da Votação Matéria Urgente - MPV 1164/2023",2349947,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349947","MPV",291,1164,2023,"Institui o Programa Bolsa Família e altera a Lei nº 8.742, de 7 de dezembro de 1993, que dispõe sobre a organização da Assistência Social, e a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento.  NOVA EMENTA: Institui o Programa Bolsa Família; altera a Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento, e a Lei nº 10.779, de 25 de novembro de 2003; e revoga dispositivos das Leis nºs 14.284, de 29 de dezembro de 2021, e 14.342, de 18 de maio de 2022, e a Medida Provisória nº 1.155, de 1º de janeiro de 2023.","2349947-42"
2366316,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2366316","RPD",332,3,0,"Requerimento de Votação Nominal-Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1164/2023",2349947,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349947","MPV",291,1164,2023,"Institui o Programa Bolsa Família e altera a Lei nº 8.742, de 7 de dezembro de 1993, que dispõe sobre a organização da Assistência Social, e a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento.  NOVA EMENTA: Institui o Programa Bolsa Família; altera a Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento, e a Lei nº 10.779, de 25 de novembro de 2003; e revoga dispositivos das Leis nºs 14.284, de 29 de dezembro de 2021, e 14.342, de 18 de maio de 2022, e a Medida Provisória nº 1.155, de 1º de janeiro de 2023.","2349947-42"
2366317,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2366317","RPD",892,4,0,"Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1164/2023",2349947,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349947","MPV",291,1164,2023,"Institui o Programa Bolsa Família e altera a Lei nº 8.742, de 7 de dezembro de 1993, que dispõe sobre a organização da Assistência Social, e a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento.  NOVA EMENTA: Institui o Programa Bolsa Família; altera a Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto em folha de pagamento, e a Lei nº 10.779, de 25 de novembro de 2003; e revoga dispositivos das Leis nºs 14.284, de 29 de dezembro de 2021, e 14.342, de 18 de maio de 2022, e a Medida Provisória nº 1.155, de 1º de janeiro de 2023.","2349947-42"
