"id_objetosPossiveis","uri_objetosPossiveis","siglaTipo_objetosPossiveis","codTipo_objetosPossiveis","numero_objetosPossiveis","ano_objetosPossiveis","ementa_objetosPossiveis","id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2449060,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2449060","DTQ",846,5,0,"Destaque para Votação em Separado - PEC 9/2023 Turno 2",2352476,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2352476","PEC",136,9,2023,"Altera a Emenda Constitucional nº 117, de 5 de abril de 2022, quanto à aplicação de sanções aos partidos que não preencheram a cota mínima de recursos ou que não destinaram os valores mínimos em razão de sexo e raça em eleições, bem como nas prestações de contas anuais e eleitorais.  NOVA EMENTA: Impõe aos partidos políticos a obrigatoriedade da aplicação de recursos financeiros para as candidaturas de pessoas pretas e pardas; estabelece parâmetros e condições para regularização e refinanciamento de débitos de partidos políticos; e reforça a imunidade tributária dos partidos políticos conforme previsto na Constituição Federal.","2352476-158"
2449061,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2449061","RPD",329,21,0,"Requerimento de Adiamento da Discussão - PEC 9/2023 Turno 2",2352476,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2352476","PEC",136,9,2023,"Altera a Emenda Constitucional nº 117, de 5 de abril de 2022, quanto à aplicação de sanções aos partidos que não preencheram a cota mínima de recursos ou que não destinaram os valores mínimos em razão de sexo e raça em eleições, bem como nas prestações de contas anuais e eleitorais.  NOVA EMENTA: Impõe aos partidos políticos a obrigatoriedade da aplicação de recursos financeiros para as candidaturas de pessoas pretas e pardas; estabelece parâmetros e condições para regularização e refinanciamento de débitos de partidos políticos; e reforça a imunidade tributária dos partidos políticos conforme previsto na Constituição Federal.","2352476-158"
2449062,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2449062","RPD",336,22,0,"Requerimento de Adiamento da Votação - PEC 9/2023 Turno 2",2352476,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2352476","PEC",136,9,2023,"Altera a Emenda Constitucional nº 117, de 5 de abril de 2022, quanto à aplicação de sanções aos partidos que não preencheram a cota mínima de recursos ou que não destinaram os valores mínimos em razão de sexo e raça em eleições, bem como nas prestações de contas anuais e eleitorais.  NOVA EMENTA: Impõe aos partidos políticos a obrigatoriedade da aplicação de recursos financeiros para as candidaturas de pessoas pretas e pardas; estabelece parâmetros e condições para regularização e refinanciamento de débitos de partidos políticos; e reforça a imunidade tributária dos partidos políticos conforme previsto na Constituição Federal.","2352476-158"
2449063,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2449063","RPD",328,23,0,"Requerimento de Retirada de Matéria da Pauta - PEC 9/2023 Turno 2",2352476,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2352476","PEC",136,9,2023,"Altera a Emenda Constitucional nº 117, de 5 de abril de 2022, quanto à aplicação de sanções aos partidos que não preencheram a cota mínima de recursos ou que não destinaram os valores mínimos em razão de sexo e raça em eleições, bem como nas prestações de contas anuais e eleitorais.  NOVA EMENTA: Impõe aos partidos políticos a obrigatoriedade da aplicação de recursos financeiros para as candidaturas de pessoas pretas e pardas; estabelece parâmetros e condições para regularização e refinanciamento de débitos de partidos políticos; e reforça a imunidade tributária dos partidos políticos conforme previsto na Constituição Federal.","2352476-158"
2449064,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2449064","RPD",1040,24,0,"Requerimento de Votação Nominal do Requerimento de Adiamento da Discussão - PEC 9/2023 Turno 2",2352476,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2352476","PEC",136,9,2023,"Altera a Emenda Constitucional nº 117, de 5 de abril de 2022, quanto à aplicação de sanções aos partidos que não preencheram a cota mínima de recursos ou que não destinaram os valores mínimos em razão de sexo e raça em eleições, bem como nas prestações de contas anuais e eleitorais.  NOVA EMENTA: Impõe aos partidos políticos a obrigatoriedade da aplicação de recursos financeiros para as candidaturas de pessoas pretas e pardas; estabelece parâmetros e condições para regularização e refinanciamento de débitos de partidos políticos; e reforça a imunidade tributária dos partidos políticos conforme previsto na Constituição Federal.","2352476-158"
2449065,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2449065","RPD",1042,25,0,"Requerimento de Votação Nominal do Requerimento de Adiamento da Votação - PEC 9/2023 Turno 2",2352476,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2352476","PEC",136,9,2023,"Altera a Emenda Constitucional nº 117, de 5 de abril de 2022, quanto à aplicação de sanções aos partidos que não preencheram a cota mínima de recursos ou que não destinaram os valores mínimos em razão de sexo e raça em eleições, bem como nas prestações de contas anuais e eleitorais.  NOVA EMENTA: Impõe aos partidos políticos a obrigatoriedade da aplicação de recursos financeiros para as candidaturas de pessoas pretas e pardas; estabelece parâmetros e condições para regularização e refinanciamento de débitos de partidos políticos; e reforça a imunidade tributária dos partidos políticos conforme previsto na Constituição Federal.","2352476-158"
2449066,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2449066","RPD",1051,26,0,"Requerimento de Votação Nominal do Requerimento de Retirada de Pauta - PEC 9/2023 Turno 2",2352476,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2352476","PEC",136,9,2023,"Altera a Emenda Constitucional nº 117, de 5 de abril de 2022, quanto à aplicação de sanções aos partidos que não preencheram a cota mínima de recursos ou que não destinaram os valores mínimos em razão de sexo e raça em eleições, bem como nas prestações de contas anuais e eleitorais.  NOVA EMENTA: Impõe aos partidos políticos a obrigatoriedade da aplicação de recursos financeiros para as candidaturas de pessoas pretas e pardas; estabelece parâmetros e condições para regularização e refinanciamento de débitos de partidos políticos; e reforça a imunidade tributária dos partidos políticos conforme previsto na Constituição Federal.","2352476-158"
2449000,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2449000","DTQ",846,4,0,"Destaque para Votação em Separado - PEC 9/2023 Turno 1",2352476,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2352476","PEC",136,9,2023,"Altera a Emenda Constitucional nº 117, de 5 de abril de 2022, quanto à aplicação de sanções aos partidos que não preencheram a cota mínima de recursos ou que não destinaram os valores mínimos em razão de sexo e raça em eleições, bem como nas prestações de contas anuais e eleitorais.  NOVA EMENTA: Impõe aos partidos políticos a obrigatoriedade da aplicação de recursos financeiros para as candidaturas de pessoas pretas e pardas; estabelece parâmetros e condições para regularização e refinanciamento de débitos de partidos políticos; e reforça a imunidade tributária dos partidos políticos conforme previsto na Constituição Federal.","2352476-158"
2449001,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2449001","SBT",255,1,0,"",2352476,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2352476","PEC",136,9,2023,"Altera a Emenda Constitucional nº 117, de 5 de abril de 2022, quanto à aplicação de sanções aos partidos que não preencheram a cota mínima de recursos ou que não destinaram os valores mínimos em razão de sexo e raça em eleições, bem como nas prestações de contas anuais e eleitorais.  NOVA EMENTA: Impõe aos partidos políticos a obrigatoriedade da aplicação de recursos financeiros para as candidaturas de pessoas pretas e pardas; estabelece parâmetros e condições para regularização e refinanciamento de débitos de partidos políticos; e reforça a imunidade tributária dos partidos políticos conforme previsto na Constituição Federal.","2352476-158"
2448997,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2448997","RPD",890,20,0,"Requerimento Procedimental Genérico - PEC 9/2023",2352476,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2352476","PEC",136,9,2023,"Altera a Emenda Constitucional nº 117, de 5 de abril de 2022, quanto à aplicação de sanções aos partidos que não preencheram a cota mínima de recursos ou que não destinaram os valores mínimos em razão de sexo e raça em eleições, bem como nas prestações de contas anuais e eleitorais.  NOVA EMENTA: Impõe aos partidos políticos a obrigatoriedade da aplicação de recursos financeiros para as candidaturas de pessoas pretas e pardas; estabelece parâmetros e condições para regularização e refinanciamento de débitos de partidos políticos; e reforça a imunidade tributária dos partidos políticos conforme previsto na Constituição Federal.","2352476-158"
