"id_objetosPossiveis","uri_objetosPossiveis","siglaTipo_objetosPossiveis","codTipo_objetosPossiveis","numero_objetosPossiveis","ano_objetosPossiveis","ementa_objetosPossiveis","id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2414219,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414219","RPD",332,17,0,"Requerimento de Votação Nominal-Requerimento Procedimental Genérico - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2414209,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414209","DTQ",1011,6,0,"Destaque de Emenda - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2414210,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414210","RPD",332,16,0,"Requerimento de Votação Nominal-Destaque de Emenda - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2414180,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414180","DTQ",1011,5,0,"Destaque de Emenda - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2414184,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414184","RPD",332,15,0,"Requerimento de Votação Nominal-Destaque de Emenda - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2414071,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414071","RPDR",889,14,0,"Requerimento Procedimental Genérico - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413845,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413845","DTQ",1011,1,0,"Destaque de Emenda - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413846,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413846","DTQ",846,2,0,"Destaque para Votação em Separado - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413847,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413847","DTQ",1011,3,0,"Destaque de Emenda - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413848,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413848","DTQ",1011,4,0,"Destaque de Emenda - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
