"","Dim1","Dim2","Dim3","Dim4","Dim5","Dim6","Dim7","Dim8","Dim9","Dim10","Dim11","Dim12","Dim13","Dim14","Dim15","Dim16","Dim17","Dim18","Dim19","Dim20","Dim21","Dim22","Dim23","Dim24","Dim25","Dim26","Dim27"
"AGIR",-0.593298159901149,0.455375475586828,-2.16780475376635,1.59720728773349,-0.401716690252157,-0.0828521715902267,1.97666057569627,-1.21316990693037,-1.28987743916562,4.49749050937801,-1.06542800260082,-3.11095290349314,-0.395875223084543,-0.205485649987379,2.67228327547207,2.64948273081361,-1.49655467094123,-1.00923410896776,0.38572628603017,0.0177130564861836,0.120262517065286,-0.198077979010496,0.209220510081207,1.60935730717777e-15,5.79350208120959e-16,-6.95600731766158e-17,7.95483598161453e-17
"AVANTE",-0.44490251447702,0.146470298160245,-0.981935594133687,0.0149568315068388,-0.219107771158027,-0.0481449112555538,1.22329057962704,-0.704018529707588,-2.39292955235527,1.82586391448563,0.394154018571169,1.24687633673033,-0.334974323039248,-0.0911973429325679,-2.29657513150048,-0.89081937496944,3.05186409843203,0.580714971301651,-0.817315363984744,0.58240525168083,-0.15308220843638,0.0615760317715629,-0.0570148035796569,-2.30918956938112e-16,2.70414311842848e-15,-3.46563290727234e-15,-5.82658679162876e-16
"CIDADANIA",-0.779025550445968,0.0990074468035128,2.08488977781767,1.6032616167567,-0.0334563427317301,-0.00376750716321372,0.0280348201574349,-0.019219600006066,-0.0950914962919448,0.144473117475827,0.080013873101933,-0.0298335421944762,0.122332482763193,0.130580900017953,-0.13720820610388,-0.0678311539108534,-0.0398275583660966,-0.148671150649398,-0.0368820092782355,-0.0366826458501752,0.00138879257794591,-0.078348676764781,-0.0462497957046972,-2.94338427272139,-4.38335375576167e-14,6.82951968583109e-14,-1.72210117182003e-14
"DC",-0.783690184743676,0.656971711206452,-2.5508693017384,2.37920253434378,0.0191828130702178,-0.00181151356171595,-0.236147771589032,0.102068358602299,3.33437406048878,-0.859742730755245,-3.68713340125392,-1.29081291856619,3.4479583833498,2.56429517393551,1.03169749176921,-1.97337130942209,3.47290610363991,0.693011580950573,-0.0732433840779017,-0.158121627801443,-0.24379559217736,-0.246881364157136,-0.00314439052590397,-4.70279563032919e-15,9.65844631396483e-16,-4.12365253670654e-15,3.87550097104954e-16
"MDB",-0.258982753830166,-0.160664827157307,0.125107600448264,-0.927792761206987,-0.0166985729503475,-0.00919545162291881,0.123768964448512,-0.0426587272237546,0.489798810087153,-0.0628928002288491,-0.126582373638645,0.194400753014629,-0.205643378703996,-0.289072083344608,0.269587972153249,0.232271375178765,0.13792570673214,-0.134416863632391,0.44717185680353,1.05018878469499,-1.32242068977258,-2.74483290562508,-1.09137858819959,3.4562809649227e-16,-3.70825146902128e-16,1.0658127899024e-15,-7.09351123317912e-16
"MOBILIZA",-0.605637369801424,0.628728252676224,-1.86456881005827,2.19394771440864,-0.521163385917661,-0.106451817500304,2.75303338130565,-1.22164612052642,-3.2226833482199,-5.08078383403129,-2.10123851076875,3.02470413670373,-1.08910652294588,-1.28714525883017,2.52993893974384,0.231876814144526,-1.05772836073343,0.0512233933813549,0.0595840375939274,-0.292274326800616,0.190200685821455,0.00378579435485675,-0.529982175003291,1.42401136462363e-15,-2.46645639724985e-15,2.40547073948793e-15,8.15139242501498e-16
"NOVO",-1.39857918013236,0.656574983478465,-2.29526477970821,1.49164480247607,1.57053062558257,0.319148119801137,-7.75669249412884,3.12294711997078,-4.86025974451752,0.439646562488726,2.82030371242306,1.1492388162385,3.78176498692673,-1.2610031370401,3.32607629084293,0.645376885350205,0.767028940611145,-0.588553486201422,0.258922898595779,0.755783285342908,-1.09888522260137,-0.0135250751728613,-0.788421167910721,2.34720743990394e-15,6.37897361386524e-15,-1.69080245607466e-15,-2.56665909181718e-15
"PC do B",1.63719302821766,-1.00945684868815,-0.0616141679938289,0.333159540324463,0.0498802910064371,-0.00115762502023739,-0.298954078571532,-0.0138485315154255,-0.0854925241244694,-0.0209389101124399,-0.163916665865952,0.012039063938092,-0.108801602493786,0.159857417892941,-0.0501463464167272,0.157880977896994,-0.0295448173911237,0.1129902485017,-0.118956837779828,0.0331860138392531,0.169640717570095,0.0188303136833226,0.0479723461865657,8.48320020227233e-14,-2.41740805416941,2.07086430234221,-4.13143298192278e-15
"PCB",5.90813089153464,13.5756546297317,2.80102732889729,-1.24549270188612,84.1625468253035,36.7568791576394,-6.39249330865657,-66.6198760148621,4.74966871894394,-1.43345859611297,5.2818950638554,1.26485501202312,6.06190738702916,-4.10664697353496,0.889029197377121,-3.57979094260449,-1.33692969352577,-1.49270260001199,0.802823964079473,-0.0457303882845712,-0.0791238038091117,0.165609381327397,0.386596206106718,-6.04748199394679e-15,-2.71640422275749e-14,2.73484534195893e-14,7.95953913709589e-15
"PDT",-0.00785400450518865,0.0230937138997068,-0.125377900552122,-0.345332650041578,-0.213382226015325,-0.0533368551389605,0.831623152218192,0.078910417587868,0.501814615380228,-0.0781154973934983,0.163263314833412,-0.550179645672087,2.41458776227079,-3.27368716944114,-0.717907377631607,-0.106107899116186,-0.795375275777223,1.4423070935319,-0.677383959019653,-0.620615148485768,-0.191293243062925,0.0197042072538489,0.643201106494847,-5.76673336244337e-16,4.88461501258414e-15,9.33043906957474e-17,-2.44494089282038e-15
"PL",-1.07871089938372,0.26504911162857,-0.0120437741243063,-0.909532557141282,0.287844500438584,0.0538972495185671,-0.860581605512428,0.282232939958913,0.0359028930103051,-0.283422591710462,-0.944367844249535,0.192490052797964,-0.561769878786237,0.0423362384332475,-0.19671787588716,1.04149238658767,0.170078330597302,0.429501845455121,-0.241045640318909,0.849017216323985,2.7810512381671,-1.13332046301771,2.40286308782397,-1.46663978389232e-15,1.77054778399396e-15,-1.49689403032428e-15,2.60957746369474e-16
"PMB",-0.675394841188144,0.800328890621846,-3.13367274208119,3.2048300226876,-0.061732981144879,-0.0108457265980913,-0.391529889241965,0.385703528581022,5.12845937813359,3.03532030115216,2.04181930591295,6.91766955464662,-1.11050685972918,-0.289172257444443,-0.91681865109278,0.894897600778608,-2.49775069637214,0.27764262950362,0.734332250609168,-0.23835305886453,0.0236501435770524,0.200810859008494,0.376460431836287,4.8113841448013e-16,-2.14911352362651e-15,1.95680198533412e-15,6.18055499272803e-16
"PODE",-0.57502805349196,0.106390538420052,-0.188179114743339,-0.516312009910245,0.00919762890867399,0.00563229133706604,0.0390308317621168,-0.0406385341149047,-0.206546372674869,0.331989615481611,1.03171680242529,-0.498623948203393,-0.907901420238143,1.22395698130534,1.3200120086444,-1.97326460105457,-1.15344036195174,3.1759821040695,-0.382697047203627,0.0731394784416339,0.262267586059711,0.151779537509263,-0.429946655773535,-1.34441622370616e-15,-2.91658195232317e-15,2.55961860316763e-15,1.44963860901794e-15
"PP",-0.495338902298483,-0.0332356471249246,0.153083093109709,-0.909824522513335,0.0642618373150203,0.00760821783603971,-0.15079380995444,0.0720618595612468,0.463341249055725,0.109616574697852,-0.378762043923922,0.101385660829178,-0.122306753932829,-0.613929839001302,0.103171500956074,0.611370833790227,0.638660103699032,-0.00835165279067551,1.03370806697807,-0.447350126190699,1.59377506161727,1.22476293955286,-2.52303867094942,2.90796592100541e-16,1.04116135468141e-15,-1.76798058715344e-15,-5.87259016469738e-16
"PRD",-0.747579087963078,0.259606739333742,-0.961135717665777,-0.318083346976956,0.275904838813312,0.0497616323906981,-0.942159772849205,0.268848950893848,-1.14648098684119,0.126874720235538,-1.92975771115672,-0.409839946320396,0.20166647498167,0.951507136593868,-2.86774517784703,-1.38677685989961,-2.84052144123039,-1.03323410926069,0.598176813260089,-0.999982010951339,-0.307949492025304,-0.233195375471787,-0.560116465830882,-1.71387265857478e-15,-1.18449734624094e-15,3.58396180561207e-15,1.00656905496192e-15
