"","Dim1","Dim2","Dim3","Dim4","Dim5","Dim6","Dim7","Dim8","Dim9","Dim10","Dim11","Dim12","Dim13","Dim14","Dim15","Dim16","Dim17","Dim18","Dim19","Dim20","Dim21","Dim22","Dim23","Dim24","Dim25"
"AGIR",0.239676928394959,-3.46804956442677,1.02951017465984,-3.21138509890056,0.0425816782015802,0.848131032412559,0.890860910694842,-0.558743073834261,-1.41952301623268,-0.663262758481845,0.66155327813794,2.56713797524127,-4.16196018655272,-3.55723883265216,2.0054597002393,0.0165501634054835,1.33962911966188,-0.701587176111117,-0.417329030931395,-0.111887902368143,0.0396387670404305,0.328282475396879,-0.628694809982475,0.29192495832797,-0.187265438351276
"AVANTE",-0.178728681844306,-0.615733473146289,0.495945053313373,0.486750978047169,-1.0892236215614,0.787891320111875,-0.43013680942028,0.449011464579724,-1.06078644265751,-1.46385195157669,-2.74343020672017,-3.08560848038207,-0.363491725010237,-0.210514458240102,0.654879464108997,-1.15885605884105,1.16706843386263,-0.160677757577356,-0.458315742810156,1.02160173302886,-0.678997783813267,0.0401382530054295,0.310534984777486,0.396934450191231,-0.0839733224061288
"CIDADANIA",0.253747097321424,0.0407578833849718,0.622944207144841,-0.47375402696208,4.00374961471049,-0.0164794022909244,3.28874196941872,-1.53192901365411,0.0675419855597629,-0.646675550105042,0.873177722530102,-1.75289153453189,0.555645383187547,-0.0498646102539307,0.0635501880367649,-1.21125952487249,-0.100458047688852,0.615409719657219,0.252067483815849,0.545414144612655,-0.116927057118777,0.765147717909701,1.20039636826906,-1.15456419762891,-0.909286591815265
"DC",0.424021347618047,-3.68782567425752,0.205098294054663,0.737465163016679,0.211359879815436,-2.25484640972486,-1.9178041474484,-1.84433387682004,1.90337439204591,-5.98946985128337,0.252053094578052,2.48997563358192,2.81591809565851,1.58475022116483,0.853257517849827,-1.53647376968798,-0.627042868772168,0.545539900995718,0.559714878823381,-0.0638952059261533,-0.165101047029454,-0.253067647527042,-0.346474784242225,0.528417891046387,0.769914938320894
"MDB",0.0843191979228675,0.67230808278624,-0.0757622015703589,-0.326592439233983,0.00377110827534983,0.0253630911217595,-0.189727194393831,0.0426867494903092,-0.0697258357004301,0.210255524870492,0.204343179677584,0.655722686650474,-0.160899983529127,-0.179107155841047,-0.144424765085278,-0.265040535638067,-0.0192546837233178,0.382592477224819,1.11205000668575,1.24683994286011,-0.891772839961632,-1.695809907834,1.54139332465262,0.905770552729537,0.451292779074812
"MOBILIZA",-0.0536904619228495,-2.74189599739627,0.540722638044479,-2.55480037868553,0.339219863678833,4.33877126027074,0.468923925624009,1.54503003823509,5.67209642849712,2.89183623422192,-2.13121270884259,0.195590602917645,1.77356746566482,1.44915343213042,0.796213203484407,-1.0142869632987,-0.608581206590187,-0.0924259817523301,0.296907218866201,-0.356232501812201,-0.340147303749811,-0.26781904023236,-0.381419302907374,0.297060569246142,0.334552780644732
"NOVO",1.50868643910278,-2.44758338339882,-2.35732713815651,7.63462966413382,0.0500021565996305,3.31510450293609,4.88322992845652,5.12658710129264,-1.72960600975805,-0.553948129548657,1.80861782636435,1.99571539707584,1.31450744064766,-1.47590831540359,2.08842221901511,0.261793836894959,-0.492277608046659,-0.314348780357314,0.194398973812175,0.25734935950006,-0.95115646168507,-0.752650850311089,-1.00610960567506,0.50200337998856,1.41284751108914
"PC do B",-3.29139517722683,-0.450081379137481,2.37424457229472,-0.0857668465042974,-4.42952594068145,0.443557436686787,2.49946954435611,0.399955895578546,2.47910078738647,-2.11890903347461,4.01683498888518,-2.19866940143557,-1.74611151877395,1.26590816803816,-1.00007293987305,2.75728122864203,-0.630741483885355,1.05408847665756,1.31603795798931,1.14423077767267,-0.63357825779585,1.03787776561687,0.391262914912154,-0.754935770501625,-0.141500984488808
"PDT",-0.981086378287964,0.382632347593358,0.784807910237511,0.227863084848318,0.267290440581155,-0.786855766825932,0.275115439638666,0.230175079269925,-0.232270145776091,0.563668113261836,-1.52141048329597,1.47706431528978,0.649994714074884,0.259014710309281,0.95163626826261,1.41682633768057,0.00373088640058539,0.382743276391596,-0.436968494149906,2.14623378198787,0.752118508870294,1.65462956862766,0.156997843539566,-0.390842788454518,0.320136470481784
"PL",0.679788597035885,0.265542002074317,-0.529108235036771,-0.25070504600614,-0.0644001078088202,-0.254959710507046,-0.388696370029609,-0.579127478776957,0.334298618861534,0.270780492361217,0.69269388568252,-0.561245620622918,0.0821777060475154,-0.343217546532447,0.437501957742492,0.422183523978335,-1.02591748305433,-0.408909767905573,-2.02914741119011,0.406563235216342,-1.76115299038754,0.0889856308361875,-0.488672618488489,-0.464157801369286,1.24055558735956
"PMB",0.124305019756565,-5.50210816694177,1.19290694817095,-4.01540367217723,-1.05368904991187,-1.90141221486148,0.756876463081114,2.14498030777783,-6.96125501271308,3.08704596157721,1.49892346005736,-1.54757454646189,4.5015884184385,2.99837718012494,-2.16078254386978,0.657550620450758,-1.53035686144692,1.45163720755134,0.484972664505847,-0.330033737926687,-0.539730377326546,-0.80627837660909,-0.624711722808766,0.335436126017654,0.813761791453698
