"partido","Dim1"
"NOVO",1.20596968924932
"PL",1.15549237322208
"PRD",0.462820240508659
"UNIÃO",0.430985061869328
"PP",0.388809948763534
"REPUBLICANOS",0.360342585015636
"PODE",0.28233092863175
"MDB",0.233322227842966
"PSD",0.174109301109024
"AVANTE",0.00621494312254116
"CIDADANIA",0.00409345436033178
"PSDB",-0.0634817350021714
"SOLIDARIEDADE",-0.206357671960768
"PDT",-0.507401999236804
"PSB",-0.716052256059267
"PV",-0.903618835592091
"REDE",-1.31660750007763
"PCdoB",-1.87201887328728
"PT",-1.94799819108979
"PSOL",-2.32499891244903
