"partido","Dim1"
"PSTU",-41.8465689267189
"PSOL",-9.30958911230031
"PC do B",-3.29139517722683
"REDE",-2.76120918401753
"PT",-2.56591745565571
"PDT",-0.981086378287964
"PSB",-0.753371161230904
"PV",-0.569001755615486
"AVANTE",-0.178728681844306
"MOBILIZA",-0.0536904619228495
"SOLIDARIEDADE",0.0368751835013244
"MDB",0.0843191979228675
"PSD",0.122297593088778
"PMB",0.124305019756565
"PP",0.129154978123206
"AGIR",0.239676928394959
"CIDADANIA",0.253747097321424
"REPUBLICANOS",0.352023228633179
"PODE",0.413313391599932
"DC",0.424021347618047
"PRD",0.474665905211142
"UNIÃO",0.558125444875834
"PSDB",0.597743004766493
"PL",0.679788597035885
"PRTB",1.15465434501923
"NOVO",1.50868643910278
