partido,migracao,frentes,coligacao,votacao,migracao_rank,frentes_rank,coligacao_rank,votacao_rank,media_rank,label
PSTU,-41.73,NA,-7.14,NA,1.00,NA,1.00,NA,1.00,esquerda_1
UP,NA,NA,-6.39,NA,NA,NA,4.67,NA,4.67,esquerda_1
PSOL,-9.28,-2.33,-2.92,-1.24,4.96,1.00,12.00,11.42,7.35,esquerda_1
PCB,NA,NA,-5.96,NA,NA,NA,8.33,NA,8.33,esquerda_2
PT,-2.57,-1.95,-1.63,-1.54,16.84,6.21,19.33,1.00,10.85,esquerda_2
PC do B,-3.29,-1.87,-1.63,-1.47,8.92,11.42,19.33,6.21,11.47,esquerda_2
REDE,-2.74,-1.32,-2.92,-1.24,12.88,16.63,12.00,16.63,14.54,esquerda_2
PV,-0.56,-0.91,-1.63,-1.18,28.72,21.84,19.33,21.84,22.93,esquerda_3
PSB,-0.75,-0.72,-0.16,-0.86,24.76,27.05,30.33,27.05,27.30,esquerda_3
PDT,-0.99,-0.51,0.00,-0.80,20.80,32.26,34.00,32.26,29.83,esquerda_3
SOLIDARIEDADE,0.04,-0.21,0.35,-0.31,40.60,37.47,45.00,47.89,42.74,centro_1
AVANTE,-0.19,0.00,0.45,-0.36,32.68,53.11,48.67,37.47,42.98,centro_1
PSD,0.12,0.17,0.30,-0.27,52.48,58.32,41.33,53.11,51.31,centro_2
MDB,0.09,0.23,0.26,-0.22,48.52,63.53,37.67,58.32,52.01,centro_2
MOBILIZA,-0.08,NA,0.60,NA,36.64,NA,70.67,NA,53.65,centro_2
PMB,0.09,NA,0.67,NA,44.56,NA,74.33,NA,59.45,centro_3
PODE,0.41,0.28,0.58,-0.33,72.28,68.74,59.67,42.68,60.84,centro_3
PP,0.14,0.37,0.49,-0.17,56.44,79.16,52.33,63.53,62.86,centro_3
AGIR,0.20,NA,0.59,NA,60.40,NA,67.00,NA,63.70,centro_3
REPUBLICANOS,0.35,0.36,0.52,-0.12,68.32,73.95,56.00,68.74,66.75,direita_1
CIDADANIA,0.25,0.00,0.78,0.06,64.36,47.89,81.67,84.37,69.57,direita_1
PSDB,0.60,-0.07,0.78,0.02,88.12,42.68,85.33,73.95,72.52,direita_1
UNIÃO,0.56,0.43,0.58,0.03,84.16,84.37,63.33,79.16,77.75,direita_2
DC,0.41,NA,0.79,NA,76.24,NA,89.00,NA,82.62,direita_2
PRD,0.47,0.46,0.74,0.30,80.20,89.58,78.00,89.58,84.34,direita_2
PRTB,1.15,NA,0.94,NA,96.04,NA,92.67,NA,94.35,direita_3
PL,0.69,1.16,1.08,1.51,92.08,94.79,96.33,94.79,94.50,direita_3
NOVO,1.51,1.21,1.39,1.54,100.00,100.00,100.00,100.00,100.00,direita_3
